index,nav_date,nav_value
5994,2022-12-09,487.4889
5995,2022-12-12,488.4785
5996,2022-12-13,493.7241
5997,2022-12-14,488.7036
5998,2022-12-15,490.9778
5999,2022-12-16,486.1873
6000,2022-12-19,481.6822
6001,2022-12-20,479.2566
6002,2022-12-21,475.5366
6003,2022-12-22,473.4881
6004,2022-12-23,472.8386
6005,2022-12-26,476.5883
6006,2022-12-27,475.4855
6007,2022-12-28,469.1246
6008,2022-12-29,474.1097
6009,2022-12-30,470.8654
6010,2023-01-02,470.8644
6011,2023-01-03,472.9663
6012,2023-01-04,474.0441
6013,2023-01-05,478.8877
6014,2023-01-06,481.1631
6015,2023-01-09,477.7684
6016,2023-01-10,487.2879
6017,2023-01-11,488.3757
6018,2023-01-12,487.9931
6019,2023-01-13,492.4132
6020,2023-01-16,493.7523
6021,2023-01-17,495.7495
6022,2023-01-18,507.0277
6023,2023-01-19,506.06
6024,2023-01-20,504.9042
6025,2023-01-23,505.6844
6026,2023-01-24,510.7491
6027,2023-01-25,504.268
6028,2023-01-26,495.8578
6029,2023-01-27,493.5515
6030,2023-01-30,486.7415
6031,2023-01-31,485.1715
6032,2023-02-01,487.5779
6033,2023-02-02,484.0122
6034,2023-02-03,478.2065
6035,2023-02-06,478.7459
6036,2023-02-07,482.6505
6037,2023-02-08,475.7347
6038,2023-02-09,479.4358
6039,2023-02-10,483.1532
6040,2023-02-13,487.4872
6041,2023-02-14,493.0082
6042,2023-02-15,502.9354
6043,2023-02-16,501.6171
6044,2023-02-17,502.3612
6045,2023-02-20,500.7778
6046,2023-02-21,501.045
6047,2023-02-22,508.1265
6048,2023-02-23,502.3938
6049,2023-02-24,498.8505
6050,2023-02-27,505.2068
6051,2023-02-28,510.0352
6052,2023-03-01,508.6667
6053,2023-03-02,512.7785
6054,2023-03-03,514.5893
6055,2023-03-06,521.7123
6056,2023-03-07,522.3246
6057,2023-03-08,527.3425
6058,2023-03-09,540.0526
6059,2023-03-10,543.1889
6060,2023-03-13,543.7057
6061,2023-03-14,547.4632
6062,2023-03-15,545.984
6063,2023-03-16,557.892
6064,2023-03-17,559.067
6065,2023-03-20,558.0108
6066,2023-03-21,554.1991
6067,2023-03-22,559.8766
6068,2023-03-23,564.466
6069,2023-03-24,562.2856
6070,2023-03-27,565.443
6071,2023-03-28,558.258
6072,2023-03-29,559.4579
6073,2023-03-30,561.9861
6074,2023-03-31,570.8065
6075,2023-04-03,567.2319
6076,2023-04-04,561.1622
6077,2023-04-05,557.0355
6078,2023-04-06,550.7921
6079,2023-04-07,557.6109
6080,2023-04-10,565.5706
6081,2023-04-11,567.4627
6082,2023-04-12,573.9037
6083,2023-04-13,574.8786
6084,2023-04-14,574.693
6085,2023-04-17,573.3032
6086,2023-04-18,572.031
6087,2023-04-19,564.5669
6088,2023-04-20,566.1761
6089,2023-04-21,566.2668
6090,2023-04-24,570.2955
6091,2023-04-25,571.0606
6092,2023-04-26,570.536
6093,2023-04-27,566.4614
6094,2023-04-28,567.1145
6095,2023-05-01,571.1134
6096,2023-05-02,565.6753
6097,2023-05-03,566.404
6098,2023-05-04,567.8622
6099,2023-05-05,564.5686
6100,2023-05-08,561.939
6101,2023-05-09,563.3736
6102,2023-05-10,558.0581
6103,2023-05-11,560.0718
6104,2023-05-12,555.9534
6105,2023-05-15,561.4787
6106,2023-05-16,573.4711
6107,2023-05-17,569.4279
6108,2023-05-18,572.4122
6109,2023-05-19,569.0487
6110,2023-05-22,574.5931
6111,2023-05-23,568.5103
6112,2023-05-24,571.2196
6113,2023-05-25,567.1312
6114,2023-05-26,566.3889
6115,2023-05-29,561.5519
6116,2023-05-30,565.9312
6117,2023-05-31,562.059
6118,2023-06-01,565.0931
6119,2023-06-02,563.6716
6120,2023-06-05,563.3934
6121,2023-06-06,564.4191
6122,2023-06-07,560.929
6123,2023-06-08,562.2606
6124,2023-06-09,570.1945
6125,2023-06-12,566.5874
6126,2023-06-13,572.7685
6127,2023-06-14,580.6856
6128,2023-06-15,576.8184
6129,2023-06-16,569.7576
6130,2023-06-19,571.5717
6131,2023-06-20,569.1125
6132,2023-06-21,578.8674
6133,2023-06-22,579.3439
6134,2023-06-23,575.5565
6135,2023-06-26,570.057
6136,2023-06-27,575.8598
6137,2023-06-28,573.262
6138,2023-06-29,573.7795
6139,2023-06-30,578.9351
6140,2023-07-03,576.7654
6141,2023-07-04,576.8293
6142,2023-07-05,577.0426
6143,2023-07-06,580.8301
6144,2023-07-07,584.1654
6145,2023-07-10,583.3333
6146,2023-07-11,583.962
6147,2023-07-12,582.3508
6148,2023-07-13,575.1079
6149,2023-07-14,576.7133
6150,2023-07-17,586.7206
6151,2023-07-18,582.4661
6152,2023-07-19,578.8072
6153,2023-07-20,574.6758
6154,2023-07-21,578.6584
6155,2023-07-24,581.2514
6156,2023-07-25,580.7388
6157,2023-07-26,576.3533
6158,2023-07-27,577.1207
6159,2023-07-28,569.5056
6160,2023-07-31,570.5207
6161,2023-08-01,575.2193
6162,2023-08-02,569.2005
6163,2023-08-03,561.849
6164,2023-08-04,570.0239
6165,2023-08-07,567.2493
6166,2023-08-08,573.2563
6167,2023-08-09,572.7737
6168,2023-08-10,572.2513
6169,2023-08-11,574.7646
6170,2023-08-14,570.5953
6171,2023-08-15,571.5572
6172,2023-08-16,569.9315
6173,2023-08-17,563.6234
6174,2023-08-18,565.5951
6175,2023-08-21,564.5744
6176,2023-08-22,564.0841
6177,2023-08-23,558.3838
6178,2023-08-24,566.5681
6179,2023-08-25,571.2603
6180,2023-08-28,576.4358
6181,2023-08-29,575.1817
6182,2023-08-30,566.7691
6183,2023-08-31,576.9127
6184,2023-09-01,576.8994
6185,2023-09-04,573.398
6186,2023-09-05,575.8066
6187,2023-09-06,582.0642
6188,2023-09-07,582.2461
6189,2023-09-08,589.1525
6190,2023-09-11,595.1135
6191,2023-09-12,589.7951
6192,2023-09-13,586.6033
6193,2023-09-14,591.8832
6194,2023-09-15,578.1898
6195,2023-09-18,577.7262
6196,2023-09-19,570.7762
6197,2023-09-20,568.6757
6198,2023-09-21,567.4716
6199,2023-09-22,565.9735
6200,2023-09-25,563.5143
6201,2023-09-26,558.376
6202,2023-09-27,570.0712
6203,2023-09-28,579.8367
6204,2023-09-29,574.2208
6205,2023-10-02,582.5895
6206,2023-10-03,580.8402
6207,2023-10-04,581.8024
6208,2023-10-05,581.7779
6209,2023-10-06,578.7012
6210,2023-10-09,584.0455
6211,2023-10-10,584.996
6212,2023-10-11,582.8431
6213,2023-10-12,576.473
6214,2023-10-13,572.2429
6215,2023-10-16,564.3101
6216,2023-10-17,564.6621
6217,2023-10-18,559.0226
6218,2023-10-19,558.0026
6219,2023-10-20,565.0774
6220,2023-10-23,571.3805
6221,2023-10-24,571.5127
6222,2023-10-25,571.3686
6223,2023-10-26,581.22
6224,2023-10-27,584.1967
6225,2023-10-30,582.8108
6226,2023-10-31,575.8241
6227,2023-11-01,578.126
6228,2023-11-02,582.6704
6229,2023-11-03,579.7325
6230,2023-11-06,581.5232
6231,2023-11-07,579.9607
6232,2023-11-08,579.3189
6233,2023-11-09,567.0393
6234,2023-11-10,566.2233
6235,2023-11-13,571.3794
6236,2023-11-14,568.4997
6237,2023-11-15,569.0566
6238,2023-11-16,565.5671
6239,2023-11-17,567.6605
6240,2023-11-20,566.87
6241,2023-11-21,562.4839
6242,2023-11-22,569.4269
6243,2023-11-23,574.4072
6244,2023-11-24,571.6459
6245,2023-11-27,574.4572
6246,2023-11-28,577.4842
6247,2023-11-29,581.0643
6248,2023-11-30,572.7421
6249,2023-12-01,578.1473
6250,2023-12-04,575.5467
6251,2023-12-05,574.0293
6252,2023-12-06,587.8432
6253,2023-12-07,589.7144
6254,2023-12-08,588.0119
6255,2023-12-11,576.9838
6256,2023-12-12,584.4006
6257,2023-12-13,577.8064
6258,2023-12-14,573.0112
6259,2023-12-15,571.634
6260,2023-12-18,579.1181
6261,2023-12-19,583.3816
6262,2023-12-20,582.8708
6263,2023-12-21,584.7593
6264,2023-12-22,581.9713
6265,2023-12-25,582.9892
6266,2023-12-26,583.6674
6267,2023-12-27,588.9793
6268,2023-12-28,594.3311
6269,2023-12-29,597.2339
6270,2024-01-01,595.6357
6271,2024-01-02,599.8546
6272,2024-01-03,599.6775
6273,2024-01-04,594.2894
6274,2024-01-05,592.485
6275,2024-01-08,593.2328
6276,2024-01-09,598.3226
6277,2024-01-10,597.6632
6278,2024-01-11,591.6287
6279,2024-01-12,592.2302
6280,2024-01-15,593.129
6281,2024-01-16,594.4085
6282,2024-01-17,599.5594
6283,2024-01-18,605.2836
6284,2024-01-19,602.4306
6285,2024-01-22,599.4751
6286,2024-01-23,594.3074
6287,2024-01-24,598.2899
6288,2024-01-25,606.2963
6289,2024-01-26,604.9258
6290,2024-01-29,603.9507
6291,2024-01-30,612.1297
6292,2024-01-31,615.1823
6293,2024-02-01,617.8723
6294,2024-02-02,611.7323
6295,2024-02-05,615.7225
6296,2024-02-06,611.0129
6297,2024-02-07,605.2447
6298,2024-02-08,603.7079
6299,2024-02-09,600.907
6300,2024-02-12,600.0432
6301,2024-02-13,592.7717
6302,2024-02-14,598.1139
6303,2024-02-15,604.4037
6304,2024-02-16,594.4189
6305,2024-02-19,599.8798
6306,2024-02-20,595.9144
6307,2024-02-21,600.7451
6308,2024-02-22,600.6923
6309,2024-02-23,601.1548
6310,2024-02-26,600.484
6311,2024-02-27,607.2508
6312,2024-02-28,600.9583
6313,2024-02-29,604.5003
6314,2024-03-01,610.7152
6315,2024-03-04,614.9028
6316,2024-03-05,627.9635
6317,2024-03-06,625.3634
6318,2024-03-07,630.9909
6319,2024-03-08,630.7261
6320,2024-03-11,637.9534
6321,2024-03-12,638.2393
6322,2024-03-13,636.388
6323,2024-03-14,644.0928
6324,2024-03-15,641.6375
6325,2024-03-18,634.0199
6326,2024-03-19,631.4621
6327,2024-03-20,635.2466
6328,2024-03-21,643.4252
6329,2024-03-22,644.3884
6330,2024-03-25,652.2598
6331,2024-03-26,644.8262
6332,2024-03-27,642.6418
6333,2024-03-28,641.3391
6334,2024-03-29,641.0221
6335,2024-04-01,641.8287
6336,2024-04-02,646.0847
6337,2024-04-03,643.8872
6338,2024-04-04,645.0099
6339,2024-04-05,645.0859
6340,2024-04-08,640.17
6341,2024-04-09,639.8586
6342,2024-04-10,639.3782
6343,2024-04-11,638.7775
6344,2024-04-12,639.2861
6345,2024-04-15,640.043
6346,2024-04-16,637.9365
6347,2024-04-17,645.4701
6348,2024-04-18,639.1767
6349,2024-04-19,635.4532
6350,2024-04-22,651.5612
6351,2024-04-23,645.957
6352,2024-04-24,638.6202
6353,2024-04-25,643.1019
6354,2024-04-26,631.7543
6355,2024-04-29,630.7702
6356,2024-04-30,643.1525
6357,2024-05-01,634.7763
6358,2024-05-02,624.0991
6359,2024-05-03,616.2197
6360,2024-05-06,621.4418
6361,2024-05-07,627.9608
6362,2024-05-08,625.451
6363,2024-05-09,629.5556
6364,2024-05-10,637.6509
6365,2024-05-13,648.116
6366,2024-05-14,647.0433
6367,2024-05-15,634.3697
6368,2024-05-16,630.1188
6369,2024-05-17,628.0754
6370,2024-05-20,626.9661
6371,2024-05-21,626.2512
6372,2024-05-22,632.7878
6373,2024-05-23,640.2703
6374,2024-05-24,639.6315
6375,2024-05-27,646.1915
6376,2024-05-28,648.5674
6377,2024-05-29,649.2714
6378,2024-05-30,654.8208
6379,2024-05-31,655.5763
6380,2024-06-03,667.9269
6381,2024-06-04,659.8477
6382,2024-06-05,657.1955
6383,2024-06-06,656.8013
6384,2024-06-07,659.692
6385,2024-06-10,667.4546
6386,2024-06-11,667.6553
6387,2024-06-12,659.6735
6388,2024-06-13,664.9362
6389,2024-06-14,669.7236
6390,2024-06-17,658.6916
6391,2024-06-18,659.0094
6392,2024-06-19,650.1674
6393,2024-06-20,646.701
6394,2024-06-21,641.9035
6395,2024-06-24,646.8347
6396,2024-06-25,647.8357
6397,2024-06-26,640.8626
6398,2024-06-27,646.1893
6399,2024-06-28,638.3989
6400,2024-07-01,640.5906
6401,2024-07-02,636.3365
6402,2024-07-03,634.6149
6403,2024-07-04,637.7724
6404,2024-07-05,641.0427
6405,2024-07-08,648.9807
6406,2024-07-09,648.8447
6407,2024-07-10,650.9364
6408,2024-07-11,648.7629
6409,2024-07-12,650.1403
6410,2024-07-15,653.0019
6411,2024-07-16,652.7726
6412,2024-07-17,642.8023
6413,2024-07-18,645.0168
6414,2024-07-19,647.4278
6415,2024-07-22,643.8879
6416,2024-07-23,636.9641
6417,2024-07-24,645.642
6418,2024-07-25,648.781
6419,2024-07-26,647.8057
6420,2024-07-29,641.6731
6421,2024-07-30,637.3679
6422,2024-07-31,645.0648
6423,2024-08-01,646.1817
6424,2024-08-02,643.3834
6425,2024-08-05,646.6154
6426,2024-08-06,642.3191
6427,2024-08-07,651.2134
6428,2024-08-08,659.3693
6429,2024-08-09,657.0006
6430,2024-08-12,653.7051
6431,2024-08-13,639.1138
6432,2024-08-14,631.1428
6433,2024-08-15,624.0528
6434,2024-08-16,625.1196
6435,2024-08-19,623.6453
6436,2024-08-20,616.6077
6437,2024-08-21,615.398
6438,2024-08-22,618.4657
6439,2024-08-23,621.6721
6440,2024-08-26,611.6591
6441,2024-08-27,611.2828
6442,2024-08-28,604.1821
6443,2024-08-29,609.3203
6444,2024-08-30,613.8653
6445,2024-09-02,609.337
6446,2024-09-03,605.5466
6447,2024-09-04,603.3994
6448,2024-09-05,591.8348
6449,2024-09-06,593.8972
6450,2024-09-09,592.7756
6451,2024-09-10,598.1777
6452,2024-09-11,592.7168
6453,2024-09-12,589.7935
6454,2024-09-13,582.3095
6455,2024-09-16,577.4725
6456,2024-09-17,571.7791
6457,2024-09-18,577.1211
6458,2024-09-19,573.8741
6459,2024-09-20,574.7993
6460,2024-09-23,573.168
6461,2024-09-24,567.0793
6462,2024-09-25,566.5304
6463,2024-09-26,569.8255
6464,2024-09-27,564.0792
6465,2024-09-30,568.4118
6466,2024-10-01,564.4593
6467,2024-10-02,562.3501
6468,2024-10-03,565.2797
6469,2024-10-04,562.2719
6470,2024-10-07,562.7485
6471,2024-10-08,561.4784
6472,2024-10-09,562.4094
6473,2024-10-10,551.0083
6474,2024-10-11,542.4682
6475,2024-10-14,545.7045
6476,2024-10-15,551.0032
6477,2024-10-16,546.8785
6478,2024-10-17,545.9844
6479,2024-10-18,547.6879
6480,2024-10-21,551.3308
6481,2024-10-22,541.8388
6482,2024-10-23,537.8987
6483,2024-10-24,536.6
6484,2024-10-25,540.2165
6485,2024-10-28,552.5367
6486,2024-10-29,551.7113
6487,2024-10-30,545.189
6488,2024-10-31,547.4089
6489,2024-11-01,554.1093
6490,2024-11-04,554.9236
6491,2024-11-05,550.7883
6492,2024-11-06,555.748
6493,2024-11-07,559.2982
6494,2024-11-08,554.5459
6495,2024-11-11,556.7015
6496,2024-11-12,561.9091
6497,2024-11-13,568.0897
6498,2024-11-14,568.0499
6499,2024-11-15,566.551
6500,2024-11-18,573.0119
6501,2024-11-19,567.2214
6502,2024-11-20,569.7135
6503,2024-11-21,563.1618
6504,2024-11-22,568.7714
6505,2024-11-25,567.7713
6506,2024-11-26,574.4553
6507,2024-11-27,577.2481
6508,2024-11-28,571.349
6509,2024-11-29,578.8713
6510,2024-12-02,587.1478
6511,2024-12-03,592.0396
6512,2024-12-04,588.3799
6513,2024-12-05,587.0969
6514,2024-12-06,588.1537
6515,2024-12-09,584.8165
6516,2024-12-10,593.9167
6517,2024-12-11,594.98
6518,2024-12-12,581.2624
6519,2024-12-13,583.3055
6520,2024-12-16,581.8173
6521,2024-12-17,581.733
6522,2024-12-18,580.1441
6523,2024-12-19,584.5895
6524,2024-12-20,590.6954
6525,2024-12-23,592.4773
6526,2024-12-24,591.0119
6527,2024-12-25,591.1013
6528,2024-12-26,591.5085
6529,2024-12-27,587.6404
6530,2024-12-30,590.9532
6531,2024-12-31,593.6618
6532,2025-01-01,602.0925
6533,2025-01-02,609.1095
6534,2025-01-03,605.7497
6535,2025-01-06,610.4627
6536,2025-01-07,605.6767
6537,2025-01-08,609.72
6538,2025-01-09,607.2615
6539,2025-01-10,602.1167
6540,2025-01-13,603.917
6541,2025-01-14,590.1432
6542,2025-01-15,581.4
6543,2025-01-16,580.7902
6544,2025-01-17,581.5125
6545,2025-01-20,579.9206
6546,2025-01-21,572.1938
6547,2025-01-22,568.3745
6548,2025-01-23,570.6332
6549,2025-01-24,573.8645
6550,2025-01-27,574.0785
6551,2025-01-28,580.2646
6552,2025-01-29,582.6023
6553,2025-01-30,579.0731
6554,2025-01-31,577.9405
6555,2025-02-03,571.1287
6556,2025-02-04,570.8787
6557,2025-02-05,576.8028
6558,2025-02-06,580.5988
6559,2025-02-07,588.1256
6560,2025-02-10,586.8593
6561,2025-02-11,594.1742
6562,2025-02-12,593.4682
6563,2025-02-13,601.5307
6564,2025-02-14,601.7251
6565,2025-02-17,605.8024
6566,2025-02-18,614.0516
6567,2025-02-19,613.3213
6568,2025-02-20,614.8208
6569,2025-02-21,622.17
6570,2025-02-24,621.7613
6571,2025-02-25,614.8775
6572,2025-02-26,626.9322
6573,2025-02-27,624.6624
6574,2025-02-28,625.8604
6575,2025-03-03,632.5999
6576,2025-03-04,629.5389
6577,2025-03-05,624.29
6578,2025-03-06,626.0114
6579,2025-03-07,616.5078
6580,2025-03-10,615.2618
6581,2025-03-11,616.911
6582,2025-03-12,615.7616
6583,2025-03-13,607.7501
6584,2025-03-14,616.673
6585,2025-03-17,617.5549
6586,2025-03-18,625.7215
6587,2025-03-19,624.6103
6588,2025-03-20,620.1013
6589,2025-03-21,621.8959
6590,2025-03-24,621.0338
6591,2025-03-25,614.9337
6592,2025-03-26,623.278
6593,2025-03-27,620.1867
6594,2025-03-28,610.5174
6595,2025-03-31,618.0294
6596,2025-04-01,615.6043
6597,2025-04-02,612.6292
6598,2025-04-03,603.4761
6599,2025-04-04,613.1294
6600,2025-04-07,606.5091
6601,2025-04-08,607.1349
6602,2025-04-09,612.357
6603,2025-04-10,614.9559
6604,2025-04-11,614.9496
6605,2025-04-14,606.1024
6606,2025-04-15,602.1001
6607,2025-04-16,603.4093
6608,2025-04-17,599.544
6609,2025-04-18,600.9302
6610,2025-04-21,604.8661
6611,2025-04-22,610.3371
6612,2025-04-23,604.0841
6613,2025-04-24,616.2187
6614,2025-04-25,620.7238
6615,2025-04-28,621.0347
6616,2025-04-29,627.3545
6617,2025-04-30,640.9097
6618,2025-05-01,633.1555
6619,2025-05-02,632.225
6620,2025-05-05,619.4211
6621,2025-05-06,620.7946
6622,2025-05-07,623.1197
6623,2025-05-08,623.226
6624,2025-05-09,619.9585
6625,2025-05-12,609.1676
6626,2025-05-13,611.493
6627,2025-05-14,619.7122
6628,2025-05-15,616.8086
6629,2025-05-16,619.5266
6630,2025-05-19,611.3329
6631,2025-05-20,614.1197
6632,2025-05-21,612.3086
6633,2025-05-22,608.5191
6634,2025-05-23,604.7641
6635,2025-05-26,602.9794
6636,2025-05-27,605.3287
6637,2025-05-28,598.6729
6638,2025-05-29,596.8877
6639,2025-05-30,596.9773
6640,2025-06-02,591.524
6641,2025-06-03,601.2816
6642,2025-06-04,597.0806
6643,2025-06-05,593.8721
6644,2025-06-06,589.0741
6645,2025-06-09,598.8008
6646,2025-06-10,602.0383
6647,2025-06-11,597.3941
6648,2025-06-12,603.5621
6649,2025-06-13,604.9433
6650,2025-06-16,606.6302
6651,2025-06-17,605.1021
6652,2025-06-18,601.4263
6653,2025-06-19,603.5317
6654,2025-06-20,600.9473
6655,2025-06-23,610.9685
6656,2025-06-24,604.4792
6657,2025-06-25,613.0403
6658,2025-06-26,612.7548
6659,2025-06-27,614.6902
6660,2025-06-30,619.5429
6661,2025-07-01,616.4268
6662,2025-07-02,621.4637
6663,2025-07-03,607.1131
6664,2025-07-04,603.5816
6665,2025-07-07,598.9916
6666,2025-07-08,592.712
6667,2025-07-09,591.8947
6668,2025-07-10,594.2182
6669,2025-07-11,598.2205
6670,2025-07-14,599.802
6671,2025-07-15,596.5986
6672,2025-07-16,598.8522
6673,2025-07-17,599.8183
6674,2025-07-18,605.1025
6675,2025-07-21,609.5773
6676,2025-07-22,610.0558
6677,2025-07-23,605.5598
6678,2025-07-24,602.3934
6679,2025-07-25,599.7889
6680,2025-07-28,598.4322
6681,2025-07-29,600.1581
6682,2025-07-30,604.2671
6683,2025-07-31,604.3064
6684,2025-08-01,604.7042
6685,2025-08-04,605.7814
6686,2025-08-05,603.3426
6687,2025-08-06,598.7474
